name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Alamain (Latin District),242.03,2025,8648000,35731.1077,1,1,0,0,1,0,0,1,7,11,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.489061685415569,15.972838638301182,10.483776952496042
Mazarine Apartment,252.0,2025,15755000,62519.8413,1,1,0,0,0,0,1,0,0,1,102,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.57266833317351,11.043239246144475
Beachfront Tower - B1,217.0,2025,34518000,159069.1244,0,0,0,0,1,1,0,0,20,1,1207,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.37989735354046,17.356991485073486,11.97709413138238
Mazarine Apartment,258.0,2022,14253000,55244.186,1,1,0,1,1,0,0,1,6,30,3051,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.552959584921617,16.47247796883717,10.919518383073623
Al Fustat,159.65,2025,4303000,26952.7091,1,1,0,1,0,0,0,1,6,13,13,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.072983919160791,15.274823011820736,10.20183909447612
Mazarine Commercial,183.0,2025,19575000,106967.2131,1,1,0,0,1,0,1,0,1,6,613,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,False,False,False,False,5.209486152841421,16.78976379984114,11.58027764686179
Central,176.52,2025,36036000,204146.8389,1,1,0,1,0,0,1,0,2,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.173434184401347,17.400028996753466,12.226594812425049
PODIA,64.5,2025,15006000,232651.1628,0,1,1,0,1,0,1,0,1,7,110,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,4.1666652238017265,16.52396067908781,12.357295455326069
Alamain (Latin District),247.46,2025,5902000,23850.3192,1,1,0,0,1,0,1,0,0,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.51124895278583,15.590801834485022,10.079552879874726
Mazarine Apartment,252.0,2025,14863000,58980.1587,1,1,0,0,0,0,1,0,0,13,1301,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.51438546113103,10.984956373108272
