name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Latin City,208.0,2022,7262000,34913.4615,0,1,0,1,1,0,0,1,4,6,623402,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.337538079701318,15.798165830956417,10.460627750153476
Latin City,143.0,2025,7867000,55013.986,0,1,0,0,1,0,1,0,2,3,306,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,4.962844630259907,15.878187353311379,10.915342722797245
PODIA,74.0,2025,9678000,130783.7838,0,1,1,0,1,1,0,0,13,7,1317,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,True,False,4.30406509320417,16.0853658263354,11.781300733255224
Central,176.52,2025,35145000,199099.2522,1,1,0,1,0,0,0,1,5,5,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.173434184401347,17.37499291859214,12.201558734143678
Downtown Extension,195.0,2025,7845000,40230.7692,1,1,0,1,0,0,1,0,2,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.272999558563747,15.87538694414927,10.602387384820705
Alamain (Latin District),92.86,2025,6212000,66896.4032,1,1,0,0,1,0,0,1,7,6,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.641993463250715,11.110900480844387
Mazarine Apartment,252.0,2025,12559000,49837.3016,1,1,0,0,0,0,1,0,2,15,1521,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.345948098000264,10.816519010743638
Alamain (Latin District),92.86,2025,4773000,51399.9569,1,1,0,0,1,0,0,1,3,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.378485595988034,10.847392612921505
Al Fustat,159.65,2025,4159000,26050.736,1,1,0,1,0,0,0,1,5,45,45,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,False,5.072983919160791,15.24078521872505,10.167801300141319
New Garden City,183.0,2025,7977000,43590.1639,1,1,0,0,0,0,0,1,6,722,72262,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.209486152841421,15.892072958893266,10.682586805262074
Latin City,252.0,2022,8222000,32626.9841,0,1,0,1,1,0,1,0,1,6,652106,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.529429087511423,15.922324046439961,10.392894958101488
Mazarine Apartment,255.9,2022,25949000,101402.8918,0,1,0,1,1,0,0,1,5,7,72,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,5.544786743165743,17.071643631188184,11.526856888470242
Jade Park,278.0,2025,9942000,35762.5899,1,0,1,1,0,0,0,1,6,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.627621113690637,16.112278765636756,10.484657651161568
Central,231.14,2025,45034000,194834.2996,1,1,0,1,0,0,0,1,4,7,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.443023587547295,17.622928318001744,12.179904730666376
Beachfront Tower - B1,310.0,2025,46053000,148558.0645,0,0,0,0,1,0,0,1,5,1,1052,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,False,False,5.736572297479192,17.645303465123447,11.908731167535686
Maspero Business Tower Nile Heights,168.0,2023,11856000,70571.4286,1,1,0,0,1,0,1,0,2,2,205,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,5.123963979403259,16.288344626518004,11.164380647519604
Latin City,200.0,2025,11102000,55510.0,0,1,1,0,1,0,0,1,4,423,423411,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.298317366548036,16.222635830232242,10.924318463684207
Central,170.97,2025,35193000,205843.1304,1,1,0,1,0,0,0,1,3,4,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.141488102515018,17.37635775715597,12.234869654768474
Latin City,207.0,2025,10654000,51468.599,0,1,0,0,1,0,1,0,1,416,416101,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.332718793265369,16.18144596645908,10.848727172536682
New Garden City,176.0,2025,7217000,41005.6818,1,1,0,0,0,0,1,0,1,722,72215,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.170483995038151,15.79194991205441,10.62146591657286
Maspero Business Tower Nile Heights,176.0,2023,11842000,67284.0909,1,1,0,0,1,1,0,0,10,10,1001,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,5.170483995038151,16.287163092073857,11.116679096900594
Mazarine Commercial,168.0,2025,16994000,101154.7619,1,1,0,0,1,0,1,0,1,4,412,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,False,False,False,False,5.123963979403259,16.648370898545625,11.52440691909529
Beachfront Tower - B1,318.0,2025,46202000,145289.3082,0,0,0,0,1,1,0,0,25,1,1254,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.762051382780177,17.64853364515827,11.88648226254259
Alamain (Latin District),212.25,2025,7584000,35731.4488,1,1,0,0,1,0,0,1,7,10,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.357764825191457,15.841551322916995,10.48378649875402
Latin City,201.0,2025,10447000,51975.1244,0,1,0,0,1,0,1,0,2,311,311211,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.303304908059076,16.161825413819646,10.858520506181742
Mazarine Apartment,240.0,2022,12218000,50908.3333,0,1,0,1,1,0,1,0,1,26,2622,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.480638923341991,16.318420832191848,10.837781908195087
Beachfront Tower - B1,310.0,2025,38261000,123422.5806,0,0,0,0,1,1,0,0,13,1,1135,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.736572297479192,17.459941658592474,11.723369360747375
BEGONIA,148.0,2025,8755000,59155.4054,0,1,0,0,1,0,0,1,5,6,653,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.997212273764115,15.98513552370209,10.987923249846597
Mazarine Apartment,249.0,2025,12612000,50650.6024,1,1,0,0,0,0,0,1,4,13,1311,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.517452896464707,16.35015929964709,10.832706402992086
Downtown commercial,225.0,2025,25115000,111622.2222,1,1,0,0,1,0,1,0,0,8,809,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False,False,True,False,False,False,5.41610040220442,17.038975835166283,11.622875432762777
Mazarine Apartment,231.0,2022,12321000,53337.6623,1,1,0,1,1,0,0,1,3,40,4011,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.442417710521793,16.326815681606806,10.8843979703789
Latin City,134.0,2025,7837000,58485.0746,0,1,0,0,1,0,0,1,7,3,301708,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.897839799950911,15.874366666035002,10.97652686562473
Latin City,180.0,2022,9901000,55005.5556,0,1,0,1,1,0,0,1,7,420,420,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,False,5.19295685089021,16.10814632010465,10.91518947002244
Downtown Extension,174.0,2022,8291000,47649.4253,1,1,0,1,1,0,1,0,2,9,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.159055299214529,15.930681147098356,10.771625848149174
Beachfront Tower - B1,398.0,2025,65357000,164213.5678,0,0,0,0,1,0,0,1,3,1,1031,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,True,True,True,False,False,False,5.986452005284438,17.995375107829798,12.008923102306671
Downtown Extension,172.91,2022,8176000,47284.7146,1,1,0,1,1,0,1,0,1,9,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.152771227916698,15.916713591425623,10.763942363690676
New Garden City,176.0,2025,7360000,41818.1818,1,1,0,0,0,0,0,1,6,722,72265,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.170483995038151,15.811570490705058,10.641086495232125
Alamain (Latin District),133.67,2025,4078000,30507.9674,1,1,0,0,1,0,1,0,0,1,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.895374075983382,15.221117230116537,10.32574315471138
Jade Park,222.0,2025,7938000,35756.7568,1,0,1,1,0,0,1,0,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.402677381872279,15.887171912325147,10.484494531662241
Alamain (Latin District),210.92,2025,5031000,23852.6456,1,1,0,0,1,0,1,0,0,6,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.351478914662269,15.431129329473455,10.079650416789322
Latin City,207.0,2025,11072000,53487.9227,0,1,0,0,1,0,0,1,3,416,416302,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.332718793265369,16.21992995683959,10.88721116347487
Alamain (Latin District),215.64,2025,11053000,51256.7242,1,1,0,0,1,0,0,1,7,6,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.373610350583468,16.218212442293094,10.844602092296615
PODIA,37.0,2025,10597000,286405.4054,0,1,1,0,1,0,1,0,1,7,154,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,3.6109179126442243,16.17608150015697,12.565163587493876
Jade Park,255.0,2025,9302000,36478.4314,1,0,1,1,0,0,0,1,3,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.541263545158426,16.04573998876618,10.504476444360279
Downtown Extension,163.0,2022,7277000,44644.1718,1,1,0,1,1,0,1,0,1,9,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.093750200806762,15.800229247329224,10.706479046989687
Latin City,205.0,2025,10862000,52985.3659,0,1,0,0,1,0,0,1,4,3,306401,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.3230099791384085,16.20078101757693,10.877771039313128
PODIA,48.5,2025,14807000,305298.9691,0,1,1,0,1,0,1,0,0,7,60,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False,True,False,False,False,False,3.8815637979434374,16.510610599890857,12.62904680203859
New Garden City,287.0,2025,11932000,41574.9129,1,1,0,0,0,0,0,1,7,722,722712,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,5.659482215759621,16.294734424616777,10.635252209049915
Latin City,207.0,2022,8716000,42106.2802,1,1,0,0,1,0,0,1,4,6,617403,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.332718793265369,15.980670975046648,10.647952181941903
Mazarine Apartment,252.91,2022,26121000,103281.7998,0,1,0,1,1,0,0,1,7,7,72,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,5.533033694214862,17.07825014647886,11.545216451782318
Latin City,126.0,2025,6118000,48555.5556,0,1,0,0,1,0,0,1,3,3,301309,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.836281906951478,15.626745803692986,10.79046389765684
Downtown Extension,163.0,2022,7639000,46865.0307,1,1,0,1,1,0,0,1,5,9,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.093750200806762,15.848777262523496,10.755027062253454
Downtown Extension,174.0,2022,8252000,47425.2874,1,1,0,1,1,0,0,1,7,9,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.159055299214529,15.92596615317328,10.76691085487974
BEGONIA,148.0,2025,8357000,56466.2162,0,1,0,0,1,0,0,1,5,7,754,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.997212273764115,15.938610068983573,10.941397794932273
Mazarine Apartment,251.0,2022,13369000,53262.9482,0,1,0,1,1,0,0,1,5,25,2522,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.5254529391317835,16.40844915196526,10.882996212698837
Latin City,234.0,2025,12161000,51970.0855,0,1,0,0,1,0,1,0,2,311,311201,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.455321115357702,16.313744667963135,10.858423553181046
Al Fustat,166.16,2025,4479000,26955.9461,1,1,0,1,0,0,0,1,6,21,21,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.112951179567857,15.314910365189437,10.201959186509278
Downtown Extension,209.34,2022,7712000,36839.5911,1,1,0,1,1,0,1,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.343959724426738,15.858288115272519,10.514328390959111
Latin City,239.0,2022,7797000,32623.431,1,1,0,1,1,0,1,0,0,6,653504,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.476463551931511,15.869249602291736,10.392786051514516
Alamain (Latin District),232.63,2025,7511000,32287.3232,1,1,0,0,1,0,0,1,3,6,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.449449208551952,15.831879170668149,10.382429961585775
Alamain (Latin District),92.86,2025,2808000,30239.0696,1,1,0,0,1,0,1,0,1,15,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,14.847983044127838,10.316890062624383
Central,176.52,2025,19481000,110361.4321,1,1,0,1,0,0,0,1,3,5,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,False,False,False,False,False,5.173434184401347,16.78495018956334,11.61151600486899
Mazarine Apartment,145.0,2022,8982000,61944.8276,0,1,0,1,1,0,1,0,1,32,3253,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,4.976733742420574,16.01073313262982,11.033999390431914
Alamain (Latin District),221.86,2025,5292000,23852.8802,1,1,0,0,1,0,1,0,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.402046552310513,15.481706804216984,10.079660252127937
Alamain (Latin District),96.91,2025,2862000,29532.556,1,1,0,0,1,0,1,0,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.573782712746459,14.867031239098534,10.29324852703691
Jade Park,682.0,2025,23239000,34074.7801,1,0,1,1,0,1,0,0,8,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,True,False,True,False,False,False,6.525029657843462,16.961342459762303,10.436312803132319
Mazarine,296.0,2025,19070000,64425.6757,1,1,0,1,0,0,1,0,0,13,136,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False,False,False,False,False,False,5.69035945432406,16.763626977576603,11.073267523630097
Latin City,126.0,2025,6118000,48555.5556,0,1,0,0,1,0,1,0,2,3,301209,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.836281906951478,15.626745803692986,10.79046389765684
Latin City,237.0,2022,12451000,52535.865,0,1,0,1,1,0,1,0,0,3,304204,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.4680601411351315,16.33731149893455,10.869251358200993
Central,217.15,2025,41059000,189081.2802,1,1,0,1,0,0,1,0,2,10,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.380588358980831,17.53052061465546,12.14993225556333
Latin City,176.0,2022,9948000,56522.7273,1,1,0,1,1,0,0,1,6,407,407,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,False,5.170483995038151,16.112882083905433,10.942398089349789
Jade Park,333.0,2025,14212000,42678.6787,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.808142489980444,16.469597236123054,10.661454746642189
Beachfront Tower - B1,398.0,2025,53530000,134497.4874,0,0,0,0,1,1,0,0,8,1,1084,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,True,True,True,False,False,False,5.986452005284438,17.795752802369563,11.809300796808646
Alamain (Latin District),92.86,2025,6133000,66045.6601,1,1,0,0,1,0,0,1,4,6,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.531092982591776,15.62919458460812,11.098101601508601
Al Fustat,128.18,2025,3258000,25417.3818,1,1,0,1,0,0,1,0,0,35,35,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.853435526076081,14.996624068144127,10.14318854179917
Latin City,207.0,2022,8580000,41449.2754,0,1,0,1,1,0,0,1,6,6,609,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.332718793265369,15.964944471464145,10.632225679107867
New Garden City,141.0,2025,6057000,42957.4468,1,1,0,0,0,0,0,1,3,645,64535,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,True,False,True,4.948759890378168,15.616725185963084,10.667965295386798
Latin City,207.0,2025,11594000,56009.6618,0,1,0,0,1,0,1,0,2,3,307201,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.332718793265369,16.265998280881814,10.933279486978185
Latin City,207.0,2022,8249000,39850.2415,1,1,0,0,1,0,0,1,4,6,619401,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.332718793265369,15.925602538842869,10.592883744425844
Al Fustat,124.69,2025,3897000,31253.5087,1,1,0,1,0,0,1,0,2,8,8,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.825830657008495,15.175717584320846,10.3498869272618
Mazarine Apartment,257.0,2022,14336000,55782.1012,1,1,0,1,1,0,0,1,4,37,3732,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.54907608489522,16.47828441419685,10.929208329887567
Mazarine Apartment,245.0,2022,12739000,51995.9184,0,1,0,1,1,0,0,1,5,85,8512,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.501258210544727,16.360178712091923,10.85892050217519
Latin City,207.0,2022,7035000,33985.5072,1,1,0,0,1,0,1,0,0,6,619,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.332718793265369,15.766408248530626,10.433689453900652
Latin City,139.0,2025,7049000,50712.2302,0,1,0,0,1,0,0,1,3,3,301307,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.9344739331306915,15.768396320756013,10.833922387313219
Alamain (Latin District),205.3,2025,6261000,30496.8339,1,1,0,0,1,0,1,0,0,2,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.324472324024888,15.649850474727447,10.325378150649852
Latin City,207.0,2022,8690000,41980.6763,1,1,0,0,1,0,1,0,1,6,616102,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,5.332718793265369,15.977683497241575,10.644964703297264
Mazarine Apartment,252.0,2025,13950000,55357.1429,1,1,0,0,0,0,1,0,0,14,1402,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.45099006623165,10.92156097949442
Beachfront Tower - B1,319.0,2025,46198000,144821.3166,0,0,0,0,1,1,0,0,24,1,1244,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.765191102784844,17.648447065071636,11.88325596218722
Mazarine Apartment,231.0,2022,10233000,44298.7013,1,1,0,1,1,0,1,0,2,7,701,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.442417710521793,16.141128350068893,10.698710639576415
Beachfront Tower - B1,217.0,2025,28244000,130156.682,0,0,0,0,1,1,0,0,21,1,1212,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,False,5.37989735354046,17.156391603618374,11.77649424986548
Zahya,323.0,2025,11468000,35504.644,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False,False,False,False,False,False,5.777652323222656,16.255071105985397,10.477418783809131
Alamain (Latin District),95.17,2025,3215000,33781.6539,1,1,0,0,1,0,0,1,5,6,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,4.555664766084252,14.983337915653857,10.427673150086868
Mazarine Apartment,230.0,2025,12402000,53921.7391,1,1,0,0,0,0,1,0,1,12,1251,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.438079308923196,16.33336830789196,10.89528899840434
